question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
What roles are Regina and Melina performing in The Nutcracker?,"Regina is performing as the Snow Queen, while Melina is part of the snow corps and both are in the Arabian divertissement.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Why is this season significant for both Regina Willoughby and her daughter Melina?,This season is significant because it's Regina's last season before her retirement and Melina's first season as a trainee with the company.,reason,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
What's the difference between Regina's and Melina's experience in ballet this season?,"Regina is concluding her ballet career as a seasoned performer, while Melina is beginning her journey as a trainee in the same company.",comparison,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
What year did the post-snow scene take place?,The post-snow scene took place in 2017.,fact,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
Who is leading the interim leadership team at the New York City Ballet?,The interim leadership team is led by ballet master and former principal dancer Jonathan Stafford.,fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Why did Peter Martins request a leave of absence from the New York City Ballet?,Peter Martins requested a leave of absence while the company undergoes an internal investigation into sexual harassment accusations aimed at him.,reason,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What's the difference between the roles of Jonathan Stafford and Justin Peck in the interim leadership team?,"Jonathan Stafford is the ballet master leading the team, while Justin Peck is the resident choreographer and a soloist.",comparison,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What are the main responsibilities of the team?,"The team is responsible for the day-to-day artistic needs of the company, including scheduling, casting, and conducting rehearsals.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why is there uncertainty about the length of the team's tenure?,"There is no word yet on the length of their tenure, which indicates that the situation is still developing and updates will be provided as it unfolds.",reason,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
What event are the Pennsylvania Ballet and Boston Ballet participating in?,They are performing Super Bowl-themed choreography to celebrate the game day.,fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
Why did the Pennsylvania Ballet dancers wear Eagles green during their performance?,"They wore Eagles green to cheer on their team, the Philadelphia Eagles, in the Super Bowl.",reason,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What's the difference between the performances of Pennsylvania Ballet and Boston Ballet?,"Pennsylvania Ballet focused on a fast-paced routine with specific dance moves, while Boston Ballet incorporated Balanchine tricks and featured principal dancers in their performance.",comparison,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What new collection has Só Dança launched?,Só Dança has launched a new collection of dance shoes in collaboration with Broadway Dance Center.,fact,chunk_0,cc_news_3_dance shoes,cc_news,0
Why are industry professionals fond of the new dance shoes?,"Industry professionals appreciate the shoes for their versatility and support, as well as the centered heel that provides confidence and stability.",reason,chunk_0,cc_news_3_dance shoes,cc_news,0
What year did Rebecca Krohn join the New York City Ballet?,Rebecca Krohn joined the New York City Ballet as an apprentice in the fall of 1998.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
Why is Rebecca Krohn considered a notable dancer at the New York City Ballet?,"Rebecca Krohn is best known for her flawless execution of classic Balanchine leotard ballets, showcasing her technical skill and artistry.",reason,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
What's the difference between Rebecca Krohn's roles as a dancer and as a ballet master?,"As a dancer, Rebecca Krohn performed in various ballets, while as a ballet master, she will focus on teaching and guiding other dancers in the studio.",comparison,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
What age did the dancer move to New York to train at the School of American Ballet?,The dancer moved to New York at the age of 14.,fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
Why is Balanchine's Stravinsky Violin Concerto a favorite for the dancer?,Balanchine's Stravinsky Violin Concerto has always been a favorite because it is part of their final show.,reason,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
What's the difference between Balanchine's black and white ballets and Robbins' ballets?,"Balanchine's black and white ballets are particularly loved by the dancer for their aesthetic, while Robbins' ballets are described as always fulfilling.",comparison,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
What has been a significant aspect of the author's onstage experience?,"The author finds the time spent onstage with friends and dancing partners to be special, highlighting a sense of trust and connection.",fact,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
Why did the author's relationship with the corps de ballet dancers change over time?,"As the author became older and advanced to a soloist and principal role, they wanted to be a mentor and connect more with the younger dancers.",reason,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
"What's the difference between being a friend and sharing the stage with someone, according to the author?","Being a friend is distinct from sharing the stage, as the latter fosters a deeper connection characterized by trust and spontaneity.",comparison,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
What did the speaker do to formally address their desire to stay with the company?,The speaker spoke to Peter Martins to share their thoughts and hear his feelings about it.,fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
Why was the conversation with Peter Martins nerve-wracking for the speaker?,The speaker felt nervous because they were sharing a significant career decision and wanted to know Martins' perspective.,reason,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
How does the speaker view the talents of the dancers?,The speaker is always amazed by the talents of the dancers and looks forward to nurturing them in their new role.,application,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
