question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
What is the surprising twist about Regina Willoughby's last season with Columbia City Ballet?,"Her final season coincides with her 18-year-old daughter Melina's first season with the company, and they are performing together onstage.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Which roles do Regina and Melina perform in The Nutcracker this season?,"Regina performs the Snow Queen, Melina is in the snow corps, and both appear in the Arabian divertissement.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
How old is Regina and when will she retire from the stage?,Regina is 40 years old and will retire from the stage in March.,fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
What do the two photographed captions (left and right) indicate about Regina and Melina's performances?,"The left caption shows Regina and Melina post-snow scene in 2003, while the right caption shows the pair post-snow scene in the same theater in 2017.",comparison,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
Why was an interim artistic leadership team appointed at New York City Ballet?,"Peter Martins requested a temporary leave while the company conducts an internal investigation into sexual harassment accusations against him, prompting the appointment.",reason,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Who leads the interim artistic team at New York City Ballet and who are the other members?,The team is led by ballet master Jonathan Stafford and includes resident choreographer Justin Peck and ballet masters Craig Hall and Rebecca Krohn.,fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
How is the interim team's close familiarity with the company expected to help the dancers?,Their familiarity is expected to ease the dancers' transition despite the group's limited leadership experience.,application,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What day-to-day artistic responsibilities will the team be responsible for?,"The team will handle scheduling, casting and conducting rehearsals for the company.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Is the length of the team's tenure known?,No — there is no word yet on how long their tenure will last.,fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why did Pennsylvania Ballet and Boston Ballet perform Super Bowl-themed choreography?,They performed to celebrate game day and to cheer on their region's respective NFL teams.,reason,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What specific moves did the Pennsylvania Ballet dancers include in their Super Bowl routine?,"The PAB dancers performed fouetté turns, sky-high jumps and swan arms.",fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
Which Boston Ballet artists starred in their Super Bowl video and what stylistic element did they add?,"The video stars principal Paul Craig and soloist Derek Dunn, and Boston Ballet added some Balanchine tricks using props from Prodigal Son.",fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
How did Pennsylvania Ballet's presentation differ from Boston Ballet's in their Super Bowl clips?,"Pennsylvania Ballet dressed in Eagles green for a fast-paced, technique-driven routine with bird-themed swan arms, while Boston Ballet featured principal dancers, used Prodigal Son props and incorporated Balanchine-style tricks.",comparison,chunk_0,cc_news_3_dance shoes,cc_news,0
How is the centered heel on the Só Dança audition shoes beneficial to dancers?,With the heel centered under the body the shoes provide increased confidence and stability for the dancer.,application,chunk_0,cc_news_3_dance shoes,cc_news,0
When did Rebecca Krohn join New York City Ballet as an apprentice?,She joined NYCB as an apprentice in the fall of 1998.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
In what year did Krohn become a principal dancer with NYCB?,She became a principal dancer in 2012.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
For what style of ballets is Rebecca Krohn best known?,She is best known for her flawless execution of classic Balanchine leotard ballets.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
What will Krohn do after her final performance with NYCB?,After her final performance she will return to the NYCB studios on Monday in a new role as a ballet master.,fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
At what age did Krohn move to New York and where did she train?,She moved to New York at 14 to train at the School of American Ballet.,fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
Which ballets did Krohn name among her favorites to dance?,"She named Balanchine's Stravinsky Violin Concerto, Movements for Piano and Orchestra, Agon, Robbins' Dances at a Gathering, and the Balanchine black-and-white ballets as favorites.",fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
How does Krohn describe the difference between being friends with someone and sharing the stage with them?,She says sharing the stage adds an amazing sense of trust and spontaneity that creates a deeper connection beyond ordinary friendship.,comparison,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
Why did Krohn's relationship with the corps de ballet change as she advanced in rank?,"As she became a soloist and then a principal, she wanted to be someone young dancers could look up to and to reach out to them with support and advice.",reason,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
How might Krohn's onstage experience and desire to support younger dancers apply to her role as a ballet master?,"Her experience of strong onstage trust and her intent to mentor younger dancers suggest she will bring connection, guidance, and direct support to her work as a ballet master.",application,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
When did she formally address the idea of staying with the company?,She formally addressed it about a year ago.,fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
Who did she speak to about her plans to stay and how did he react?,"She spoke to Peter Martins, and he thought it was a great idea.",fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
What is she most looking forward to in her new role?,She looks forward to nurturing the dancers and their talents and carrying on the company's repertoire with new dancers for the future.,fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
Which ballet masters does she feel connected to and find inspiring?,"She is very close to Karin von Aroldingen, whose undying passion inspires her, and she is also inspired by Susan Hendl.",fact,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
What qualities of Susan Hendl's teaching does she admire?,She admires Susan Hendl's talent for drawing out each dancer's unique qualities and femininity.,fact,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
What parts of her life outside ballet does she plan to cultivate now that she'll have more time?,"She plans to visit museums more often, spend leisurely days off roaming the city for inspiration, cook more, and host more dinner parties.",fact,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
Why does she consider the discipline learned in ballet class important for young dancers?,She believes ballet's discipline is invaluable because it instills qualities that benefit a person whether they continue dancing or pursue other paths.,reason,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
How does she recommend young dancers approach each day?,"She advises treating each day as a new start: begin fresh, stay positive, and move forward even when you don't feel your best or your body isn't cooperating.",application,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
How do Karin von Aroldingen's and Susan Hendl's mentorship styles differ according to her?,"Karin is noted for her undying passion for the pieces, while Susan is known for drawing out each dancer's unique qualities and femininity.",comparison,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
Who will become Nevada Ballet Theatre's new artistic director?,Roy Kaiser will become Nevada Ballet Theatre's new artistic director.,fact,chunk_0,cc_news_5_Roy Kaiser to Become Nevada Ba,cc_news,0
