question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
What is the relationship between Regina Willoughby and Melina?,Regina Willoughby is Melina's mother.,fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Why is Regina Willoughby retiring from the stage?,"Regina will retire from the stage in March, coinciding with the start of her daughter Melina's career as a trainee.",reason,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
What's the difference in the roles performed by Regina and Melina in The Nutcracker?,"Regina is performing as the Snow Queen, while Melina is in the snow corps.",comparison,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
What event is referenced in the text?,The text references a post-snow scene from 2017.,fact,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
Who is leading the interim leadership team of the New York City Ballet?,The interim leadership team is led by ballet master and former principal dancer Jonathan Stafford.,fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Why did Peter Martins take a leave of absence from the New York City Ballet?,Peter Martins requested a leave of absence while the company undergoes an internal investigation into sexual harassment accusations aimed at him.,reason,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What is the difference between the interim leadership team and the previous leadership?,"The interim leadership team is composed of members from the current artistic staff who have less leadership experience compared to the previous leadership, which included Peter Martins.",comparison,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What are the main responsibilities of the team mentioned in the text?,"The team is responsible for the day-to-day artistic needs of the company, including scheduling, casting, and conducting rehearsals.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why is there uncertainty regarding the length of the team's tenure?,"There is no information available yet on the length of their tenure, indicating that the situation is still developing.",reason,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
What event are the Pennsylvania Ballet and Boston Ballet performing for?,They are performing for the Super Bowl to celebrate game day.,fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
