question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
How old is Melina and what is notable about this season for her?,"Melina is 18 years old, and this season is her first with Columbia City Ballet as a trainee.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
When will Regina Willoughby retire and how old is she?,Regina is 40 and will retire from the stage in March.,fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Which roles do Regina and Melina perform together in The Nutcracker?,"Regina performs the Snow Queen while Melina dances in the snow corps, and both appear in the Arabian divertissement.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Why did the New York City Ballet Board appoint an interim artistic leadership team?,The board appointed the interim team because Peter Martins requested a temporary leave while the company conducts an internal investigation into sexual harassment accusations against him.,reason,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
What contrast does the article make between the interim team's leadership experience and their familiarity with NYCB?,"The group hasn't had much leadership experience, but their close familiarity with the company is expected to help ease the dancers' transition.",comparison,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Who leads the four-person interim NYCB artistic leadership team and who are the other members?,The team is led by ballet master Jonathan Stafford and includes resident choreographer Justin Peck and ballet masters Craig Hall and Rebecca Krohn.,fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
How might Rebecca Krohn's recent departure from the stage help the company during the interim period?,"Because Krohn left the stage only two months ago, her recent move into a staff role gives her up-to-date familiarity with both performers and company operations, which should help ease the dancers' adjustment.",application,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What day-to-day artistic responsibilities will the team handle for the company?,"They will handle scheduling, casting and conducting rehearsals for the company's day-to-day artistic needs.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why did the Pennsylvania Ballet include swan arms in their Super Bowl routine?,"They included swan arms as a playful reference because they're associated with birds (the Eagles), as noted in the text.",reason,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Which Boston Ballet dancers starred in the company's Super Bowl video?,The video stars principal Paul Craig and soloist Derek Dunn.,fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What elements were featured in the Pennsylvania Ballet's Super Bowl-themed routine?,"Their routine featured fast-paced fouetté turns, sky-high jumps and swan arms.",fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
How do the two heel height options for the Só Dança audition shoes differ?,"The shoes are offered with either a 2.5-inch heel or a 3-inch heel, differing by 0.5 inches in height.",comparison,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
"How does centering the heel under the body, as recommended in the pro tip, help a dancer?",Centering the heel under the body provides greater confidence and stability while dancing.,application,chunk_0,cc_news_3_dance shoes,cc_news,0
Why did Pennsylvania Ballet and Boston Ballet create Super Bowl-themed performances?,They performed Super Bowl-themed choreography to celebrate game day and to cheer on their region's respective teams.,reason,chunk_0,cc_news_3_dance shoes,cc_news,0
